head,relation,tail
충청북도,URI,https://www.wikidata.org/wiki/Q41066
N1101,나이,19세
N1101,죄명,보안법위반
N1101,주문,징역 1년2월
N1101,판결연도,year_1919
N1101,연루사건,e288
N1101,본적주소,addr_경상북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경상북도,URI,https://www.wikidata.org/wiki/Q41154
N1102,나이,21세
N1102,죄명,보안법위반
N1102,주문,징역 5월
N1102,판결연도,year_1919
N1102,연루사건,e291
N1102,본적주소,addr_경상북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경상북도,URI,https://www.wikidata.org/wiki/Q41154
N1103,나이,23세
N1103,죄명,보안법위반
N1103,주문,징역 8월
N1103,판결연도,year_1919
N1103,연루사건,e285
N1103,본적주소,addr_충청북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
충청북도,URI,https://www.wikidata.org/wiki/Q41066
N1104,나이,37세(11월14일생)
N1104,죄명,보안법위반
N1104,주문,징역 2년
N1104,판결연도,year_1919
N1104,연루사건,e293
N1104,본적주소,addr_경기도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경기도,URI,https://www.wikidata.org/wiki/Q20937
N1105,나이,41세(10월17일생)
N1105,죄명,보안법위반
N1105,주문,징역 1년 6월
N1105,판결연도,year_1919
N1105,연루사건,e294
N1105,본적주소,addr_경기도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경기도,URI,https://www.wikidata.org/wiki/Q20937
N1106,나이,28세
N1106,죄명,보안법위반
N1106,주문,징역 10월
N1106,판결연도,year_1919
N1106,연루사건,e285
N1106,본적주소,addr_충청북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
충청북도,URI,https://www.wikidata.org/wiki/Q41066
N1107,나이,24세
N1107,죄명,보안법위반
N1107,주문,징역 5월
N1107,판결연도,year_1919
N1107,연루사건,e291
N1107,본적주소,addr_경상북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경상북도,URI,https://www.wikidata.org/wiki/Q41154
N1108,나이,31세(1월 18일생)
N1108,죄명,보안법위반
N1108,주문,징역 2년
N1108,판결연도,year_1919
N1108,연루사건,e295
N1108,본적주소,addr_강원도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
강원도,URI,https://www.wikidata.org/wiki/Q41416
N1109,나이,18세
N1109,죄명,보안법위반
N1109,주문,징역 10월 집행유예 3년
N1109,판결연도,year_1919
N1109,연루사건,e288
N1109,본적주소,addr_경상북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경상북도,URI,https://www.wikidata.org/wiki/Q41154
N1110,나이,36세
N1110,죄명,보안법위반
N1110,주문,징역 4월
N1110,판결연도,year_1919
N1110,연루사건,e291
N1110,본적주소,addr_경상북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경상북도,URI,https://www.wikidata.org/wiki/Q41154
N1111,나이,30세
N1111,죄명,보안법위반
N1111,주문,징역 6월
N1111,판결연도,year_1919
N1111,연루사건,e285
N1111,본적주소,addr_충청북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
충청북도,URI,https://www.wikidata.org/wiki/Q41066
N1112,나이,21세
N1112,죄명,보안법위반
N1112,주문,징역 10월 집행유예 3년
N1112,판결연도,year_1919
N1112,연루사건,e288
N1112,본적주소,addr_경상북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경상북도,URI,https://www.wikidata.org/wiki/Q41154
N1113,나이,33세(11월4일생)
N1113,죄명,보안법위반
N1113,주문,징역 6월
N1113,판결연도,year_1919
N1113,연루사건,e296
N1113,본적주소,addr_경기도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경기도,URI,https://www.wikidata.org/wiki/Q20937
N1114,나이,49세(10월15일생)
N1114,죄명,보안법위반
N1114,주문,징역 6월
N1114,판결연도,year_1919
N1114,연루사건,e297
N1114,본적주소,addr_경기도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경기도,URI,https://www.wikidata.org/wiki/Q20937
N1115,나이,18세
N1115,죄명,보안법위반
N1115,주문,징역 1년6월 
N1115,판결연도,year_1919
N1115,연루사건,e288
N1115,본적주소,addr_경상북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경상북도,URI,https://www.wikidata.org/wiki/Q41154
N1116,나이,37세(생월일불상)
N1116,죄명,보안법위반
N1116,주문,징역 6월
N1116,판결연도,year_1919
N1116,연루사건,e298
N1116,본적주소,addr_경기도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경기도,URI,https://www.wikidata.org/wiki/Q20937
N1117,나이,24세(6월9일생)
N1117,죄명,보안법위반
N1117,주문,징역 6월
N1117,판결연도,year_1919
N1117,연루사건,e299
N1117,본적주소,addr_경기도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경기도,URI,https://www.wikidata.org/wiki/Q20937
N1118,나이,47세(11월10일생)
N1118,죄명,보안법위반
N1118,주문,징역 4월
N1118,판결연도,year_1919
N1118,연루사건,e300
N1118,본적주소,addr_경기도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경기도,URI,https://www.wikidata.org/wiki/Q20937
N1119,나이,21세
N1119,죄명,보안법위반
N1119,주문,징역 6월(원판결중 피고에 관한부분 취소)
N1119,판결연도,year_1919
N1119,연루사건,e301
N1119,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1119,나이,21세
N1119,죄명,출판법위반
N1119,주문,징역 6월(원판결중 피고에 관한부분 취소)
N1119,판결연도,year_1919
N1119,연루사건,e301
N1119,본적주소,addr_전라남도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1120,나이,26세
N1120,죄명,보안법위반
N1120,주문,징역 8월
N1120,판결연도,year_1919
N1120,연루사건,e302
N1120,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1121,나이,22세
N1121,죄명,보안법위반
N1121,주문,징역 6월(원판결중 피고에 관한부분 취소)
N1121,판결연도,year_1919
N1121,연루사건,e301
N1121,본적주소,addr_전라북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1121,나이,22세
N1121,죄명,출판법위반
N1121,주문,징역 6월(원판결중 피고에 관한부분 취소)
N1121,판결연도,year_1919
N1121,연루사건,e301
N1121,본적주소,addr_전라북도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1122,나이,16세
N1122,죄명,보안법위반
N1122,주문,징역 4월집행유예 2년
N1122,판결연도,year_1919
N1122,연루사건,e302
N1122,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1123,나이,55세
N1123,죄명,보안법위반
N1123,주문,징역 1년 6월(원판결중 피고에 관한부분 취소)
N1123,판결연도,year_1919
N1123,연루사건,e301
N1123,본적주소,addr_전라북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1123,나이,55세
N1123,죄명,출판법위반
N1123,주문,징역 1년 6월(원판결중 피고에 관한부분 취소)
N1123,판결연도,year_1919
N1123,연루사건,e301
N1123,본적주소,addr_전라북도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1124,나이,17세
N1124,죄명,보안법위반
N1124,주문,징역 4월 집행유예 2년
N1124,판결연도,year_1919
N1124,연루사건,e302
N1124,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1125,나이,19세
N1125,죄명,보안법위반
N1125,주문,징역 6월(원판결중 피고에 관한부분 취소)
N1125,판결연도,year_1919
N1125,연루사건,e301
N1125,본적주소,addr_전라북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1125,나이,19세
N1125,죄명,출판법위반
N1125,주문,징역 6월(원판결중 피고에 관한부분 취소)
N1125,판결연도,year_1919
N1125,연루사건,e301
N1125,본적주소,addr_전라북도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1126,나이,18세
N1126,죄명,보안법위반
N1126,주문,징역 4월
N1126,판결연도,year_1919
N1126,연루사건,e302
N1126,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1127,나이,37세(10월 13일생)
N1127,죄명,보안법위반
N1127,주문,태 90(원판결중 피고에 관한부분 취소)
N1127,판결연도,year_1919
N1127,연루사건,e303
N1127,본적주소,addr_강원도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
강원도,URI,https://www.wikidata.org/wiki/Q41416
N1128,나이,47세(3월 2일생)
N1128,죄명,보안법위반
N1128,주문,태 90(원판결 취소)
N1128,판결연도,year_1919
N1128,연루사건,e304
N1128,본적주소,addr_함경남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
함경남도,URI,https://www.wikidata.org/wiki/Q109368
N1129,나이,28세
N1129,죄명,보안법위반
N1129,주문,징역 4월
N1129,판결연도,year_1919
N1129,연루사건,e302
N1129,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1130,나이,18세
N1130,죄명,보안법위반
N1130,주문,징역 4월
N1130,판결연도,year_1919
N1130,연루사건,e302
N1130,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1131,나이,17세
N1131,죄명,보안법위반
N1131,주문,징역 4월 집행유예 2년
N1131,판결연도,year_1919
N1131,연루사건,e302
N1131,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1132,나이,19세
N1132,죄명,보안법위반
N1132,주문,징역 6월
N1132,판결연도,year_1919
N1132,연루사건,e302
N1132,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1133,나이,20세
N1133,죄명,보안법위반
N1133,주문,징역 10월
N1133,판결연도,year_1919
N1133,연루사건,e302
N1133,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N0384,나이,30세
N0384,죄명,보안법위반
N0384,주문,징역 6월(원판결 취소)
N0384,판결연도,year_1919
N0384,연루사건,e305
N0384,본적주소,addr_경상북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경상북도,URI,https://www.wikidata.org/wiki/Q41154
N1134,나이,49세
N1134,죄명,보안법위반
N1134,주문,징역 1년 6월(원판결중 피고에 관한부분 취소)
N1134,판결연도,year_1919
N1134,연루사건,e301
N1134,본적주소,addr_군산부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
군산부,URI,https://www.wikidata.org/wiki/Q117433620
N1134,나이,49세
N1134,죄명,출판법위반
N1134,주문,징역 1년 6월(원판결중 피고에 관한부분 취소)
N1134,판결연도,year_1919
N1134,연루사건,e301
N1134,본적주소,addr_군산부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
군산부,URI,https://www.wikidata.org/wiki/Q117433620
N1135,나이,37세
N1135,죄명,보안법위반
N1135,주문,징역 2년 6월(원판결 취소)
N1135,판결연도,year_1919
N1135,연루사건,e306
N1135,본적주소,addr_전라북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1135,나이,37세
N1135,죄명,출판법위반
N1135,주문,징역 2년 6월(원판결 취소)
N1135,판결연도,year_1919
N1135,연루사건,e306
N1135,본적주소,addr_전라북도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1136,나이,20세
N1136,죄명,보안법위반
N1136,주문,징역 4월
N1136,판결연도,year_1919
N1136,연루사건,e302
N1136,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1137,나이,20세
N1137,죄명,보안법위반
N1137,주문,징역 4월
N1137,판결연도,year_1919
N1137,연루사건,e302
N1137,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1138,나이,17세
N1138,죄명,보안법위반
N1138,주문,징역 4월 집행유예 2년
N1138,판결연도,year_1919
N1138,연루사건,e302
N1138,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1139,나이,22세
N1139,죄명,보안법위반
N1139,주문,징역 6월
N1139,판결연도,year_1919
N1139,연루사건,e302
N1139,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1140,나이,50세(11월 25일생)
N1140,죄명,보안법위반
N1140,주문,징역 10월(원판결 취소)
N1140,판결연도,year_1919
N1140,연루사건,e304
N1140,본적주소,addr_함경남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
함경남도,URI,https://www.wikidata.org/wiki/Q109368
N1141,나이,44세
N1141,죄명,보안법위반
N1141,주문,징역 6월(원판결중 피고에 관한부분 취소)
N1141,판결연도,year_1919
N1141,연루사건,e301
N1141,본적주소,addr_군산부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
군산부,URI,https://www.wikidata.org/wiki/Q117433620
N1141,나이,44세
N1141,죄명,출판법위반
N1141,주문,징역 6월(원판결중 피고에 관한부분 취소)
N1141,판결연도,year_1919
N1141,연루사건,e301
N1141,본적주소,addr_군산부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
군산부,URI,https://www.wikidata.org/wiki/Q117433620
N1142,나이,67세
N1142,죄명,보안법위반
N1142,주문,징역 1년(원판결 취소)
N1142,판결연도,year_1919
N1142,연루사건,e307
N1142,본적주소,addr_전라북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1143,나이,39세
N1143,죄명,보안법위반
N1143,주문,징역 6월
N1143,판결연도,year_1919
N1143,연루사건,e308
N1143,본적주소,addr_전라북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1144,나이,22세
N1144,죄명,보안법위반
N1144,주문,징역 6월(원판결중 피고에 관한부분 취소)
N1144,판결연도,year_1919
N1144,연루사건,e301
N1144,본적주소,addr_전라북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1144,나이,22세
N1144,죄명,출판법위반
N1144,주문,징역 6월(원판결중 피고에 관한부분 취소)
N1144,판결연도,year_1919
N1144,연루사건,e301
N1144,본적주소,addr_전라북도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1144,나이,22세
N1144,죄명,보안법위반
N1144,주문,징역 6월(원판결 취소)
N1144,판결연도,year_1919
N1144,연루사건,e309
N1144,본적주소,addr_전라북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1144,나이,22세
N1144,죄명,출판법위반
N1144,주문,징역 6월(원판결 취소)
N1144,판결연도,year_1919
N1144,연루사건,e309
N1144,본적주소,addr_전라북도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1145,나이,19세
N1145,죄명,보안법위반
N1145,주문,징역 6월
N1145,판결연도,year_1919
N1145,연루사건,e302
N1145,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1146,나이,48세
N1146,죄명,보안법위반
N1146,주문,징역 6월
N1146,판결연도,year_1919
N1146,연루사건,e310
N1146,본적주소,addr_충청남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
충청남도,URI,https://www.wikidata.org/wiki/Q41070
N1147,나이,21세
N1147,죄명,보안법위반
N1147,주문,징역 1년
N1147,판결연도,year_1919
N1147,연루사건,e302
N1147,본적주소,addr_광주농업학교기숙사
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
광주농업학교기숙사,URI,❌ 없음
N1148,나이,21세
N1148,죄명,보안법위반
N1148,주문,징역 10월
N1148,판결연도,year_1919
N1148,연루사건,e302
N1148,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1149,나이,21세
N1149,죄명,보안법위반
N1149,주문,징역 6월(원판결 취소)
N1149,판결연도,year_1919
N1149,연루사건,e309
N1149,본적주소,addr_전라북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1149,나이,21세
N1149,죄명,출판법위반
N1149,주문,징역 6월(원판결 취소)
N1149,판결연도,year_1919
N1149,연루사건,e309
N1149,본적주소,addr_전라북도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1149,나이,21세
N1149,죄명,보안법위반
N1149,주문,징역 6월(원판결중 피고에 관한부분 취소)
N1149,판결연도,year_1919
N1149,연루사건,e301
N1149,본적주소,addr_전라북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1149,나이,21세
N1149,죄명,출판법위반
N1149,주문,징역 6월(원판결중 피고에 관한부분 취소)
N1149,판결연도,year_1919
N1149,연루사건,e301
N1149,본적주소,addr_전라북도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1150,나이,65세
N1150,죄명,보안법위반
N1150,주문,징역 1년
N1150,판결연도,year_1919
N1150,연루사건,e311
N1150,본적주소,addr_경북
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경북,URI,https://www.wikidata.org/wiki/Q41154
N1151,나이,35세(1월 25일생)
N1151,죄명,보안법위반
N1151,주문,징역 10월(원판결중 피고에 관한부분 취소)
N1151,판결연도,year_1919
N1151,연루사건,e303
N1151,본적주소,addr_강원도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
강원도,URI,https://www.wikidata.org/wiki/Q41416
N1152,나이,19세
N1152,죄명,보안법위반
N1152,주문,징역 10월
N1152,판결연도,year_1919
N1152,연루사건,e302
N1152,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1153,나이,20세
N1153,죄명,보안법위반
N1153,주문,징역 6월
N1153,판결연도,year_1919
N1153,연루사건,e302
N1153,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1154,나이,17세
N1154,죄명,보안법위반
N1154,주문,징역 4월집행유예 2년
N1154,판결연도,year_1919
N1154,연루사건,e302
N1154,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1155,나이,24세
N1155,죄명,보안법위반
N1155,주문,징역 4월
N1155,판결연도,year_1919
N1155,연루사건,e302
N1155,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1156,나이,26세
N1156,죄명,보안법위반
N1156,주문,징역 4월
N1156,판결연도,year_1919
N1156,연루사건,e302
N1156,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1157,나이,22세
N1157,죄명,보안법위반
N1157,주문,징역 4월
N1157,판결연도,year_1919
N1157,연루사건,e302
N1157,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1158,나이,33세
N1158,죄명,보안법위반
N1158,주문,징역 6월(원판결중 피고에 관한부분 취소)
N1158,판결연도,year_1919
N1158,연루사건,e301
N1158,본적주소,addr_군산부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
군산부,URI,https://www.wikidata.org/wiki/Q117433620
N1158,나이,33세
N1158,죄명,출판법위반
N1158,주문,징역 6월(원판결중 피고에 관한부분 취소)
N1158,판결연도,year_1919
N1158,연루사건,e301
N1158,본적주소,addr_군산부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
군산부,URI,https://www.wikidata.org/wiki/Q117433620
N1158,나이,33세
N1158,죄명,보안법위반
N1158,주문,징역 6월(원판결 취소)
N1158,판결연도,year_1919
N1158,연루사건,e309
N1158,본적주소,addr_군산부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
군산부,URI,https://www.wikidata.org/wiki/Q117433620
N1158,나이,33세
N1158,죄명,출판법위반
N1158,주문,징역 6월(원판결 취소)
N1158,판결연도,year_1919
N1158,연루사건,e309
N1158,본적주소,addr_군산부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
군산부,URI,https://www.wikidata.org/wiki/Q117433620
N1159,나이,30세
N1159,죄명,보안법위반
N1159,주문,징역 4월 집행유예 2년
N1159,판결연도,year_1919
N1159,연루사건,e302
N1159,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1160,나이,33세
N1160,죄명,보안법위반
N1160,주문,징역 1년
N1160,판결연도,year_1919
N1160,연루사건,e310
N1160,본적주소,addr_충청남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
충청남도,URI,https://www.wikidata.org/wiki/Q41070
N1161,나이,33세
N1161,죄명,보안법위반
N1161,주문,징역 6월(원판결중 피고에 관한부분 취소)
N1161,판결연도,year_1919
N1161,연루사건,e301
N1161,본적주소,addr_군산부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
군산부,URI,https://www.wikidata.org/wiki/Q117433620
N1161,나이,33세
N1161,죄명,출판법위반
N1161,주문,징역 6월(원판결중 피고에 관한부분 취소)
N1161,판결연도,year_1919
N1161,연루사건,e301
N1161,본적주소,addr_군산부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
군산부,URI,https://www.wikidata.org/wiki/Q117433620
N0415,나이,59세
N0415,죄명,보안법위반
N0415,주문,징역 10월(원판결 취소)
N0415,판결연도,year_1919
N0415,연루사건,e312
N0415,본적주소,addr_전라북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1162,나이,19세
N1162,죄명,보안법위반
N1162,주문,징역 4월
N1162,판결연도,year_1919
N1162,연루사건,e302
N1162,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1163,나이,37세
N1163,죄명,보안법위반
N1163,주문,징역 6월
N1163,판결연도,year_1919
N1163,연루사건,e313
N1163,본적주소,addr_충청남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
충청남도,URI,https://www.wikidata.org/wiki/Q41070
N1163,나이,37세
N1163,죄명,폭행
N1163,주문,징역 6월
N1163,판결연도,year_1919
N1163,연루사건,e313
N1163,본적주소,addr_충청남도
폭행,URI,❌ 없음
충청남도,URI,https://www.wikidata.org/wiki/Q41070
N1164,나이,23세
N1164,죄명,보안법위반
N1164,주문,징역 1년6월
N1164,판결연도,year_1919
N1164,연루사건,e302
N1164,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1165,나이,37세
N1165,죄명,보안법위반
N1165,주문,징역 2년 6월(원판결중 피고에 관한부분 취소)
N1165,판결연도,year_1919
N1165,연루사건,e301
N1165,본적주소,addr_전라북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1165,나이,37세
N1165,죄명,출판법위반
N1165,주문,징역 2년 6월(원판결중 피고에 관한부분 취소)
N1165,판결연도,year_1919
N1165,연루사건,e301
N1165,본적주소,addr_전라북도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1166,나이,19세
N1166,죄명,보안법위반
N1166,주문,징역 8월
N1166,판결연도,year_1919
N1166,연루사건,e302
N1166,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1167,나이,19세
N1167,죄명,보안법위반
N1167,주문,징역 4월
N1167,판결연도,year_1919
N1167,연루사건,e302
N1167,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1168,나이,39세
N1168,죄명,보안법위반
N1168,주문,징역 4월 집행유예 2년
N1168,판결연도,year_1919
N1168,연루사건,e302
N1168,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1169,나이,33세
N1169,죄명,보안법위반
N1169,주문,징역 4월집행유예 2년
N1169,판결연도,year_1919
N1169,연루사건,e302
N1169,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1170,나이,36세
N1170,죄명,보안법위반
N1170,주문,징역 1년
N1170,판결연도,year_1919
N1170,연루사건,e314
N1170,본적주소,addr_경북
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경북,URI,https://www.wikidata.org/wiki/Q41154
N0386,나이,30세
N0386,죄명,보안법위반
N0386,주문,징역 10월(원판결 취소)
N0386,판결연도,year_1919
N0386,연루사건,e305
N0386,본적주소,addr_경상북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경상북도,URI,https://www.wikidata.org/wiki/Q41154
N0387,나이,23세
N0387,죄명,보안법위반
N0387,주문,징역 10월(원판결 취소)
N0387,판결연도,year_1919
N0387,연루사건,e305
N0387,본적주소,addr_경상북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경상북도,URI,https://www.wikidata.org/wiki/Q41154
N1171,나이,22세
N1171,죄명,보안법위반
N1171,주문,징역 4월 집행유예 2년
N1171,판결연도,year_1919
N1171,연루사건,e302
N1171,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1172,나이,36세
N1172,죄명,보안법위반
N1172,주문,징역 4월
N1172,판결연도,year_1919
N1172,연루사건,e302
N1172,본적주소,addr_전라남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라남도,URI,https://www.wikidata.org/wiki/Q41161
N1173,나이,23세
N1173,죄명,보안법위반
N1173,주문,징역 10월
N1173,판결연도,year_1919
N1173,연루사건,e302
N1173,본적주소,addr_전라북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N1174,나이,20세
